kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953098067777899,4675152634490,192.168.20.11,51506,192.168.20.255,12445,241,40,8,3
1787953098068900196,4675153755620,192.168.20.11,51506,192.168.20.255,12445,242,41,8,3
1787953098070019159,4675154875027,192.168.20.11,51506,192.168.20.255,12445,243,42,8,3
1787953098071139585,4675155995305,192.168.20.11,51506,192.168.20.255,12445,244,43,8,3
1787953098072258974,4675157115157,192.168.20.11,51506,192.168.20.255,12445,245,44,8,3
1787953098161217899,4675246131102,192.168.20.11,51506,192.168.20.255,12445,246,45,8,3
1787953098162362566,4675247225102,192.168.20.11,51506,192.168.20.255,12445,247,46,8,3
1787953098163471251,4675248331805,192.168.20.11,51506,192.168.20.255,12445,248,47,8,3
1787953098164594011,4675249450435,192.168.20.11,51506,192.168.20.255,12445,249,48,8,3
1787953098165707659,4675250563157,192.168.20.11,51506,192.168.20.255,12445,250,49,8,3
1787953098166827677,4675251682435,192.168.20.11,51506,192.168.20.255,12445,251,50,8,3
1787953098263620881,4675348529953,192.168.20.11,51506,192.168.20.255,12445,252,51,8,3
1787953098264736288,4675349598157,192.168.20.11,51506,192.168.20.255,12445,253,52,8,3
1787953098265875140,4675350732046,192.168.20.11,51506,192.168.20.255,12445,254,53,8,3
1787953098267006288,4675351863490,192.168.20.11,51506,192.168.20.255,12445,255,54,8,3
1787953098268123473,4675352983750,192.168.20.11,51506,192.168.20.255,12445,256,55,8,3
1787953098269245622,4675354101564,192.168.20.11,51506,192.168.20.255,12445,257,56,8,3
1787953098270364955,4675355220064,192.168.20.11,51506,192.168.20.255,12445,258,57,8,3
1787953098366036899,4675450946675,192.168.20.11,51506,192.168.20.255,12445,259,58,8,3
1787953098367185288,4675452050583,192.168.20.11,51506,192.168.20.255,12445,260,59,8,3
1787953098368327066,4675453185379,192.168.20.11,51506,192.168.20.255,12445,261,60,8,3
1787953098369440862,4675454297657,192.168.20.11,51506,192.168.20.255,12445,262,61,8,3
1787953098370574288,4675455430268,192.168.20.11,51506,192.168.20.255,12445,263,62,8,3
1787953098371694881,4675456551638,192.168.20.11,51506,192.168.20.255,12445,264,63,8,3
1787953098372815807,4675457693416,192.168.20.11,51506,192.168.20.255,12445,265,64,8,3
1787953098468416899,4675553328638,192.168.20.11,51506,192.168.20.255,12445,266,65,8,3
1787953098469538566,4675554403453,192.168.20.11,51506,192.168.20.255,12445,267,66,8,3
1787953098470642196,4675555498787,192.168.20.11,51506,192.168.20.255,12445,268,67,8,3
1787953098471757677,4675556615157,192.168.20.11,51506,192.168.20.255,12445,269,68,8,3
1787953098472877307,4675557732083,192.168.20.11,51506,192.168.20.255,12445,270,69,8,3
1787953098474224381,4675559080231,192.168.20.11,51506,192.168.20.255,12445,271,70,8,3
1787953098475343307,4675560199175,192.168.20.11,51506,192.168.20.255,12445,272,71,8,3
1787953098571008418,4675656052305,192.168.20.11,51506,192.168.20.255,12445,273,72,8,3
1787953098572143621,4675657071268,192.168.20.11,51506,192.168.20.255,12445,274,73,8,3
1787953098573288399,4675658207953,192.168.20.11,51506,192.168.20.255,12445,275,74,8,3
1787953098574569881,4675659515083,192.168.20.11,51506,192.168.20.255,12445,276,75,8,3
1787953098575687195,4675660630212,192.168.20.11,51506,192.168.20.255,12445,277,76,8,3
1787953098576797770,4675661712768,192.168.20.11,51506,192.168.20.255,12445,278,77,8,3
1787953098577918955,4675662832898,192.168.20.11,51506,192.168.20.255,12445,279,78,8,3
1787953098673342177,4675758317305,192.168.20.11,51506,192.168.20.255,12445,280,79,8,3
1787953098674459214,4675759370101,192.168.20.11,51506,192.168.20.255,12445,281,80,8,3
1787953098675574066,4675760476249,192.168.20.11,51506,192.168.20.255,12445,282,81,8,3
1787953098676694158,4675761594675,192.168.20.11,51506,192.168.20.255,12445,283,82,8,3
1787953098677838547,4675762740768,192.168.20.11,51506,192.168.20.255,12445,284,83,8,3
1787953098678938344,4675763864342,192.168.20.11,51506,192.168.20.255,12445,285,84,8,3
1787953098680296325,4675765221972,192.168.20.11,51506,192.168.20.255,12445,286,85,8,3
1787953098775726621,4675860712472,192.168.20.11,51506,192.168.20.255,12445,287,86,8,3
1787953098776896640,4675861821453,192.168.20.11,51506,192.168.20.255,12445,288,87,8,3
1787953098778009232,4675862913897,192.168.20.11,51506,192.168.20.255,12445,289,88,8,3
1787953098779128418,4675864092675,192.168.20.11,51506,192.168.20.255,12445,290,89,8,3
1787953098780248788,4675865150472,192.168.20.11,51506,192.168.20.255,12445,291,90,8,3
1787953098781364473,4675866263805,192.168.20.11,51506,192.168.20.255,12445,292,91,8,3
1787953098878249825,4675963250323,192.168.20.11,51506,192.168.20.255,12445,293,92,8,3
1787953098879399380,4675964319546,192.168.20.11,51506,192.168.20.255,12445,294,93,8,3
1787953098880470880,4675965379138,192.168.20.11,51506,192.168.20.255,12445,295,94,8,3
1787953098881587547,4675966489842,192.168.20.11,51506,192.168.20.255,12445,296,95,8,3
1787953098882709492,4675967610879,192.168.20.11,51506,192.168.20.255,12445,297,96,8,3
1787953098883821843,4675968723138,192.168.20.11,51506,192.168.20.255,12445,298,97,8,3
1787953098884948547,4675969848583,192.168.20.11,51506,192.168.20.255,12445,299,98,8,3
1787953098980695492,4676065681360,192.168.20.11,51506,192.168.20.255,12445,300,99,8,3
1787953098981806269,4676066716045,192.168.20.11,51506,192.168.20.255,12445,301,100,8,3
1787953098982949862,4676067851471,192.168.20.11,51506,192.168.20.255,12445,302,101,8,3
1787953098984096103,4676069002082,192.168.20.11,51506,192.168.20.255,12445,303,102,8,3
1787953098985185306,4676070088620,192.168.20.11,51506,192.168.20.255,12445,304,103,8,3
1787953098986308695,4676071208749,192.168.20.11,51506,192.168.20.255,12445,305,104,8,3
1787953098987445380,4676072346360,192.168.20.11,51506,192.168.20.255,12445,306,105,8,3
1787953099082980195,4676167963823,192.168.20.11,51506,192.168.20.255,12445,307,106,8,3
1787953099084100973,4676169014231,192.168.20.11,51506,192.168.20.255,12445,308,107,8,3
1787953099085221843,4676170124619,192.168.20.11,51506,192.168.20.255,12445,309,108,8,3
1787953099086340732,4676171240934,192.168.20.11,51506,192.168.20.255,12445,310,109,8,3
